Ticker,Company,MS,MBI,MB,CNN,BS
ASPN,Aspen Aerogels Inc,True,True,True,True,True
ASPS,Altisource Portfolio Solutions SA,False,True,True,True,True
ASR,Grupo Aeroportuario del Sureste SAB de CV,True,True,True,True,True
ASRV,AmeriServ Financial Inc,False,True,True,True,True
AST,Asterias Biotherapeutics Inc,False,True,True,False,True
ASTC,Astrotech Corp,False,True,True,True,True
ASTE,Astec Industries Inc,False,True,True,True,True
ASUR,Asure Software Inc,False,True,True,True,True
ASX,ASE Technology Holding Co Ltd,True,True,,True,True
ASYS,Amtech Systems Inc,False,True,True,True,True
AT,Atlantic Power Corp,True,True,True,True,True
ATAX,America First Multifamily Investors LP,False,True,True,True,True
ATEC,Alphatec Holdings Inc,False,True,True,True,True
ATEN,A10 Networks Inc,True,True,True,True,True
ATGE,Adtalem Global Education Inc,True,True,True,True,True
ATHM,Autohome Inc,True,True,True,True,True
ATHN,athenahealth Inc,False,True,True,False,True
ATHX,Athersys Inc,False,True,True,True,True
ATI,Allegheny Technologies Inc,True,True,True,True,True
ATKR,Atkore International Group Inc,True,True,True,True,True
ATLC,Atlanticus Holdings Corp,False,True,True,True,True
ATLO,Ames National Corp,False,True,True,True,True
ATLS,Atlas Energy Group LLC,False,True,True,True,True
ATML,Atmel Corp,False,False,True,False,True
ATNI,ATN International Inc,False,True,True,True,True
ATNY,API Technologies Corp,False,False,True,False,True
ATO,Atmos Energy Corp,True,True,True,True,True
ATOM,Atomera Inc,False,True,True,True,True
ATOS,Atossa Therapeutics Inc,False,True,True,True,True
ATR,AptarGroup Inc,True,True,True,True,True
ATRC,AtriCure Inc,False,True,True,True,True
ATRI,Atrion Corp,False,True,True,True,True
ATRO,Astronics Corp,False,True,True,True,True
ATRS,Antares Pharma Inc,False,True,True,True,True
ATSG,Air Transport Services Group Inc,False,True,True,True,True
ATTO,Atento S.A,True,True,True,True,True
ATUS,Altice USA Inc,True,True,True,True,True
ATV,Acorn International Inc,True,True,True,True,True
ATVI,Activision Blizzard Inc,False,True,True,True,True
ATW,Atwood Oceanics Inc,False,True,True,False,True
AU,Anglogold Ashanti Ltd,True,True,True,True,True
AUBN,Auburn National Bancorp Inc,False,True,True,True,True
AUDC,AudioCodes Ltd,False,True,True,True,True
AUG,Auryn Resources Inc,False,True,True,True,True
AUMN,Golden Minerals Co,False,True,True,True,True
AUPH,Aurinia Pharmaceuticals Inc,False,True,True,True,True
AUTL,Autolus Therapeutics PLC,False,True,True,True,True
AUY,Yamana Gold Inc,True,True,True,True,True
AVA,Avista Corp,True,True,True,True,True
AVAL,Grupo Aval Acciones y Valores SA,True,True,True,True,True
AVAV,AeroVironment Inc,False,True,True,True,True
AVB,AvalonBay Communities Inc,True,True,True,True,True
AVD,American Vanguard Corp,True,True,True,True,True
AVDL,Avadel Pharmaceuticals PLC,False,True,True,True,True
AVEO,AVEO Pharmaceuticals Inc,False,False,True,True,True
AVGO,Broadcom Inc,False,True,True,True,True
AVGR,Avinger Inc,False,True,True,True,True
AVH,Avianca Holdings SA,True,True,True,True,True
AVHI,A V Homes Inc,False,False,True,False,True
AVID,Avid Technology Inc,False,True,True,True,True
AVLR,Avalara Inc,True,True,True,True,True
AVNU,Avenue Financial Holdings Inc,False,False,True,False,True
AVNW,Aviat Networks Inc,False,True,True,True,True
AVP,Avon Products Inc,False,True,True,False,True
AVT,Avnet Inc,False,True,True,True,True
AVTR,Avantor Inc,True,True,True,True,True
AVX,AVX Corp,False,True,True,False,True
AVXL,Anavex Life Sciences Corp,False,True,True,True,True
AVY,Avery Dennison Corp,True,True,True,True,True
AWAY,HomeAway Inc,False,False,True,True,True
AWI,Armstrong World Industries Inc,True,True,True,True,True
AWK,American Water Works Co Inc,True,True,True,True,True
AWR,American States Water Co,True,True,True,True,True
AWRE,Aware Inc,False,True,True,True,True
AWX,Avalon Holdings Corp,False,True,True,True,True
AX,Axos Financial Inc,True,True,True,True,True
AXAS,Abraxas Petroleum Corp,False,True,True,True,True
AXDX,Accelerate Diagnostics Inc,False,True,True,True,True
AXE,Anixter International Inc,True,True,True,True,True
AXGN,Axogen Inc,False,True,True,True,True
AXL,American Axle & Mfg Holdings Inc,True,True,True,True,True
AXLL,Axiall Corp,False,False,True,False,True
AXP,American Express Co,True,True,True,True,True
AXR,Amrep Corp,True,True,True,True,True
AXS,Axis Capital Holdings Ltd,True,True,True,True,True
AXTA,Axalta Coating Systems Ltd,True,True,True,True,True
AXTI,AXT Inc,False,True,True,True,True
AXU,Alexco Resource Corp,False,True,True,True,True
AY,Atlantica Yield PLC,False,True,True,True,True
AYI,Acuity Brands Inc,True,True,True,True,True
AYR,Aircastle Ltd,False,True,True,True,True
AYX,Alteryx Inc,True,True,True,True,True
AZN,AstraZeneca PLC,True,True,True,True,True
AZO,AutoZone Inc,True,True,True,True,True
AZPN,Aspen Technology Inc,False,True,True,True,True
AZRE,Azure Power Global Ltd,True,True,True,True,True
AZUL,Azul SA,True,True,True,True,True
AZZ,AZZ Inc,True,True,True,True,True
B,Barnes Group Inc,True,True,True,True,True
BA,Boeing Co,True,True,True,True,True
BABA,Alibaba Group Holding Ltd,True,True,True,True,True
BAC,Bank of America Corp,True,True,True,True,True
BAESY,BAE Systems PLC,False,False,True,True,True
BAH,Booz Allen Hamilton Holding Corp,True,True,True,True,True
BAK,Braskem SA,True,True,True,True,True
BAM,Brookfield Asset Management Inc,True,True,True,True,True
BAMM,Books-A-Million Inc,False,False,True,False,True
BANC,Banc of California Inc,True,True,True,True,True
BANF,BancFirst Corp,False,True,True,True,True
BANR,Banner Corp,False,True,True,True,True
BAP,Credicorp Ltd,True,True,True,True,True
BAS,,False,True,True,False,True
BASI,Bioanalytical Systems Inc,False,True,True,True,True
BAX,Baxter International Inc,True,True,True,True,True
BAYRY,Bayer AG,False,False,True,True,True
BB,BlackBerry Ltd,True,True,True,True,True
BBBY,Bed Bath & Beyond Inc,False,True,True,True,True
BBD,Bank Bradesco SA,True,True,True,True,True
BBDO,Bank Bradesco SA,True,True,True,True,True
BBGI,Beasley Broadcast Group Inc,False,True,True,True,True
BBL,BHP Group PLC,True,True,True,True,True
BBRG,Bravo Brio Restaurant Group Inc,False,True,True,False,True
BBSI,Barrett Business Services Inc,False,True,True,True,True
BBVA,Banco Bilbao Vizcaya Argentaria SA,True,True,True,True,True
BBW,Build-A-Bear Workshop Inc,True,True,True,True,True
BBX,BBX Capital Corp,True,True,True,True,True
BBY,Best Buy Co Inc,True,True,True,True,True
BC,Brunswick Corp,True,True,True,True,True
BCBP,BCB Bancorp Inc,False,True,True,True,True
BCC,Boise Cascade Co,True,True,True,True,True
BCE,BCE Inc,True,True,True,True,True
BCEI,Bonanza Creek Energy Inc,True,True,True,True,True
BCH,Banco De Chile,True,True,True,True,True
BCO,The Brink's Co,True,True,True,True,True
BCOM,B Communications Ltd,False,True,True,True,True
BCOR,Blucora Inc,False,True,True,True,True
BCOV,Brightcove Inc,False,True,True,True,True
BCPC,Balchem Corp,False,True,True,True,True
BCRH,,False,True,True,False,True
BCRX,BioCryst Pharmaceuticals Inc,False,True,True,True,True
BCS,Barclays PLC,True,True,True,True,True
BCTF,Bancorp 34 Inc,False,True,True,True,True
BDBD,Boulder Brands Inc,False,False,True,False,True
BDC,Belden Inc,True,True,True,True,True
BDGE,Bridge Bancorp Inc,False,True,True,True,True
BDL,Flanigan'S Enterprises Inc,False,True,True,True,True
BDN,Brandywine Realty Trust,True,True,True,True,True
BDR,Blonder Tongue Laboratories Inc,False,True,True,True,True
BDSI,BioDelivery Sciences International Inc,False,True,True,True,True
BDX,"Becton, Dickinson and Co",True,True,True,True,True
BEAT,BioTelemetry Inc,False,True,True,True,True
BEAV,B/E Aerospace Inc,False,True,True,False,True
BECN,Beacon Roofing Supply Inc,False,True,True,True,True
BEDU,Bright Scholar Education Holdings Ltd,True,True,True,True,True
BELFA,Bel Fuse Inc,False,True,True,True,True
BELFB,Bel Fuse Inc,False,True,True,True,True
BEN,Franklin Resources Inc,True,True,True,True,True
BEP,Brookfield Renewable Partners LP,True,True,True,True,True
BERY,Berry Global Group Inc,True,True,True,True,True
BESIY,BE Semiconductor Industries NV,False,False,True,True,True
BEST,BEST Inc,True,True,True,True,True
BF.A,Brown-Forman Corp,True,False,True,True,True
BF.B,Brown-Forman Corp,True,False,True,True,True
BFAM,Bright Horizons Family Solutions Inc,True,True,True,True,True
BFIN,BankFinancial Corp,False,True,True,True,True
BFRA,Biofrontera AG,False,True,True,True,True
BFS,Saul Centers Inc,True,True,True,True,True
BG,Bunge Ltd,True,True,True,True,True
BGC,General Cable Corp,False,True,True,False,True
BGCP,BGC Partners Inc,False,True,True,True,True
BGFV,Big 5 Sporting Goods Corp,False,True,True,True,True
BGG,Briggs & Stratton Corp,True,True,True,True,True
BGI,Birks Group Inc,False,True,True,True,True
BGNE,BeiGene Ltd,False,True,True,True,True
BGS,B&G Foods Inc,True,True,True,True,True
BGSF,BG Staffing Inc,True,True,True,True,True
BH,Biglari Holdings Inc,True,True,True,True,True
BHB,Bar Harbor Bankshares Inc,False,True,True,True,True
BHBK,Blue Hills Bancorp Inc,False,True,True,False,True
BHC,Bausch Health Companies Inc,True,True,True,True,True
BHE,Benchmark Electronics Inc,True,True,True,True,True
BHF,Brighthouse Financial Inc,False,True,True,True,True
BHLB,Berkshire Hills Bancorp Inc,True,True,True,True,True
