,Ticker,Company,MS,MBI,MB,CNN,BS
316,ADMQ,ADM Endeavors Inc,False,False,False,True,False
317,ADMS,Adamas Pharmaceuticals Inc,False,True,True,True,True
318,ADMT,ADM Tronics Unlimited Inc,False,False,False,True,False
319,ADNT,Adient PLC,True,True,True,True,True
320,ADOCF,Adocia,False,False,False,False,False
321,ADOCY,Adocia,False,False,True,True,False
322,ADOM,ADOMANI Inc,False,True,True,True,False
323,ADOOY,PT Adaro Energy Tbk,False,False,False,True,False
324,ADP,Automatic Data Processing Inc,False,True,True,True,True
325,ADPAJ,Adelphia Recovery Trust,False,False,False,True,False
326,ADPAN,Adelphia Recovery Trust,False,False,False,False,False
327,ADPMF,ad pepper media International NV,False,False,False,False,False
328,ADPPF,Ado Properties SA,False,False,True,True,False
329,ADPT,Adaptive Biotechnologies Corp,False,True,True,True,False
330,ADPTQ,Adeptus Health Inc,False,False,True,False,False
331,ADPXF,Audio Pixels Holdings Ltd,False,False,False,False,False
332,ADPXY,Audio Pixels Holdings Ltd,False,True,False,True,False
333,ADRNF,Aderans Co Ltd,False,False,False,False,False
334,ADRNY,Koninklijke Ahold Delhaize NV,False,False,True,True,False
335,ADRO,Aduro Biotech Inc,False,True,True,True,True
336,ADRZF,Andritz AG,False,False,False,True,False
337,ADRZY,Andritz AG,False,False,True,True,False
338,ADS,Alliance Data Systems Corp,True,True,True,True,True
339,ADSK,Autodesk Inc,False,True,True,True,True
340,ADSW,Advanced Disposal Services Inc,True,True,True,True,True
341,ADT,ADT Inc,True,True,True,True,True
342,ADTFF,iMetal Resources Inc,False,False,False,True,False
343,ADTN,Adtran Inc,False,True,True,True,True
344,ADTR,Alliance Media Holdings Inc,False,False,False,True,False
345,ADTTF,Advantest Corp,False,False,False,True,False
346,ADTY,Adtegrity.com International Inc,False,False,False,True,False
347,ADUS,Addus HomeCare Corp,False,True,True,True,True
348,ADVC,Advant-e Corp,False,False,False,True,False
349,ADVM,Adverum Biotechnologies Inc,False,True,True,True,True
350,ADVOF,ADVA Optical Networking SE,False,False,True,True,False
351,ADVV,Adveco Group Inc,False,False,False,True,False
352,ADVZF,Adventus Mining Corp,False,False,False,True,False
353,ADWPF,Andrew Peller Ltd,False,False,False,True,False
354,ADXS,Advaxis Inc,False,False,True,True,True
355,ADYEY,Adyen NV,False,False,False,True,False
356,ADYX,Adynxx Inc,False,True,False,True,False
357,ADYYF,Adyen NV,False,False,True,True,False
358,ADZZF,Advance Residence Investment Corp,False,False,False,True,False
359,AE,Adams Resources & Energy Inc,False,True,True,True,True
360,AEB,,False,False,True,True,False
361,AEBLF,American Biofuels Inc,False,False,False,True,False
362,AEBZY,Anadolu Efes Biracilik ve Malt Sanayi AS,False,False,False,True,False
363,AECLF,AECI Ltd,False,False,False,False,False
364,AECLY,AECI Ltd,False,False,False,True,False
365,AEDFF,Aedifica SA,False,False,False,True,False
366,AEE,Ameren Corp,True,True,True,True,True
367,AEEI,American Environmental Energy Inc,False,False,False,True,False
368,AEEX,Asia Equity Exchange Group Inc,False,False,False,True,False
369,AEFC,,False,False,False,True,False
370,AEG,Aegon NV,True,True,True,True,False
371,AEGG,The American Energy Group Ltd,False,False,True,True,False
372,AEGMF,Alliance Resources Ltd,False,False,True,False,False
373,AEGN,Aegion Corp,False,True,True,True,True
374,AEGOF,Aegon NV,False,False,False,True,False
375,AEGR,Aegerion Pharmaceuticals Inc,False,False,True,False,True
376,AEGXF,Aecon Group Inc,False,False,False,True,False
377,AEH,,False,True,False,False,False
378,AEHR,Aehr Test Systems,False,True,True,True,True
379,AEIS,Advanced Energy Industries Inc,False,True,True,True,True
380,AEL,American Equity Investment Life Holding Co,True,True,True,True,True
381,AELEF,Alpine Electronics Inc,False,False,False,False,False
382,AELGF,Aer Lingus Group PLC,False,False,False,False,False
383,AELIY,Anadolu Hayat Emeklilik AS,False,False,False,True,False
384,AELTF,Adacel Technologies Ltd,False,False,True,True,False
385,AEM,Agnico Eagle Mines Ltd,True,True,True,True,True
386,AEMAF,Australian Primary Hemp Ltd,False,False,False,False,False
387,AEMC,Archer Entertainment,False,False,True,True,False
388,AEMD,Aethlon Medical Inc,False,False,True,True,True
389,AEMMF,A2A SpA,False,False,False,True,False
390,AEMMY,A2A SpA,False,False,True,True,False
391,AEO,American Eagle Outfitters Inc,True,True,True,True,True
392,AEOIF,Aeon Thana Sinsap (Thailand) PCL,False,False,False,False,False
393,AEOJF,AEON Financial Service Co Ltd,False,False,False,True,False
394,AEOMF,Aeon Metals Ltd,False,False,False,True,False
395,AEORF,AS Abwicklung und Solar-Service AG,False,False,False,False,False
396,AEOXF,Aéroports de Paris SA,False,False,True,True,False
397,AEP,American Electric Power Co Inc,True,True,True,True,True
398,AEPI,AEP Industries Inc,False,False,True,False,True
399,AEPLF,Anglo-Eastern Plantations PLC,False,False,False,True,False
400,AER,AerCap Holdings NV,True,True,True,True,True
401,AERG,Applied Energetics Inc,False,False,True,True,False
402,AERI,Aerie Pharmaceuticals Inc,False,True,True,True,False
403,AERO,AeroGrow International Inc,False,False,True,True,False
404,AERT,Advanced Environmental Recycling Technologies Inc,False,False,True,False,False
405,AES,The AES Corp,True,True,True,True,True
406,AESAY,AES Tiete Energia SA,False,False,True,False,False
407,AESE,Allied Esports Entertainment Inc,False,True,True,True,False
408,AESTY,AES Tiete Energia SA,False,False,False,True,False
409,AESYY,AES Tiete Energia SA,False,False,False,False,False
410,AET,Aetna Inc,False,True,True,False,False
411,AETUF,ARC Resources Ltd,False,False,True,True,False
412,AEVEF,Arena Events Group PLC,False,False,False,False,False
413,AEXAF,Atos SE,False,False,False,True,False
414,AEXAY,Atos SE,False,False,True,True,False
415,AEXFF,Aminex PLC,False,False,False,True,False
416,AEY,Addvantage Technologies Group Inc,False,True,True,True,True
417,AEYE,AudioEye Inc,False,True,True,True,False
418,AEZS,AEterna Zentaris Inc,False,True,True,True,True
419,AFAM,Almost Family Inc,False,False,True,False,False
420,AFAN,AF Ocean Investment Management Co,False,False,False,False,False
421,AFAP,AFA Protective Systems Inc,False,False,False,True,False
422,AFBA,Allied First Bancorp Inc,False,False,False,True,False
423,AFBG,American Fiber Green Products Inc,False,False,False,True,False
424,AFBOF,African Rainbow Minerals Ltd,False,False,False,True,False
425,AFC,,False,False,True,True,False
426,AFCB,Athens Bancshares Corp,False,True,True,True,False
427,AFCJF,AFC Ajax NV,False,False,True,True,False
428,AFCMF,Afri-Can Marine Minerals Corp,False,False,False,False,False
429,AFCO,American Farmland Co,False,False,True,False,True
430,AFCRF,Africo Resources Ltd,False,False,False,False,False
431,AFDVF,AFI Development PLC,False,False,False,True,False
432,AFFU,Affluence Corp,False,False,False,True,False
433,AFFX,Affymetrix Inc,False,False,,False,True
434,AFFY,Affymax Inc,False,True,True,True,False
435,AFG,American Financial Group Inc,True,True,True,True,True
436,AFGB,,False,False,False,True,False
437,AFGC,Africa Growth Corp,False,False,False,True,False
438,AFGE,,False,False,False,False,False
